   0.2500000000000000E+07   0.3790000000000027E-03
   0.3000000000000000E+07   0.3390000000000017E-03
   0.3500000000000000E+07   0.3290000000000015E-03
   0.4000000000000000E+07   0.3260000000000014E-03
   0.4500000000000000E+07   0.3250000000000014E-03
   0.5000000000000000E+07   0.3270000000000014E-03
   0.5500000000000000E+07   0.3290000000000015E-03
   0.6000000000000000E+07   0.3330000000000016E-03
   0.6500000000000000E+07   0.3380000000000017E-03
   0.7000000000000000E+07   0.3450000000000019E-03
   0.7500000000000000E+07   0.3590000000000022E-03
   0.8000000000000000E+07   0.1013000000000014E-02
   0.8500000000000000E+07   0.9710000000000171E-03
   0.9000000000000000E+07   0.9820000000000167E-03
   0.9500000000000000E+07   0.1005000000000015E-02
   0.1000000000000000E+08   0.1034000000000012E-02
   0.1050000000000000E+08   0.1069000000000009E-02
   0.1100000000000000E+08   0.1111000000000006E-02
   0.1150000000000000E+08   0.1161000000000002E-02
   0.1200000000000000E+08   0.1223999999999996E-02
   0.1175000000000000E+08   0.1189999999999999E-02
   0.1187500000000000E+08   0.1206999999999998E-02
   0.1193750000000000E+08   0.1214999999999997E-02
   0.1196875000000000E+08   0.1219999999999997E-02
   0.1198437500000000E+08   0.1221999999999997E-02
